求人ID,自社ID,賞与,給与,仕事内容
83585,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83586,,★★認可保育園/交通費支給/残業ほぼなし★★保育士さんのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83587,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83588,,★★認可保育園/交通費支給/残業ほぼなし★★保育士さんのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83589,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83590,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83591,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83592,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83593,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83594,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83595,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83596,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83597,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83598,,★★認可保育園/交通費支給/残業ほぼなし★★保育士さんのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83599,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：235,200円～
（時給1,400円）",
83600,,★★認可保育園/交通費支給/残業ほぼなし★★保育士さんのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83601,,★★駅ちか/交通費支給/残業ほぼなし★★保育園でのお仕事です♪,"月収：218,400円～
（時給1,300円）",
83602,,★★認可保育園/交通費支給/残業ほぼなし★★保育士さんのお仕事です♪,"月収：218,400円～
（時給1,300円）",
