求人ID,自社ID,賞与,給与,仕事内容
88238,10065483,一之江駅徒歩2分★上場会社運営認可保育園★主任保育士★月給21万円～★賞与年2回G10065483,"月給 210000円 ～ 
※資格手当含む、ほかに経験加算あり","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  給食あり  研修制度  残業手当  資格手当  育児休暇あり"
88239,10061517,"京急久里浜駅すぐ★認可保育園★月給183,000円～★福利厚生充実★職員関係良好★Y10061517","月給 183000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88240,10061515,"京急久里浜駅すぐ★認可保育園★月給183,000円～★福利厚生充実★職員関係良好★Y10061515","月給 183000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88241,10061522,"金沢文庫駅徒歩3分★認可保育園★月給183,000円～★福利厚生充実★職員関係良好★Y10061522","月給 183000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88242,10061525,戸塚駅徒歩5分★認可保育園★主任業務★月給21万円～★福利厚生充実★職員関係良好★Y10061525,"月給 210000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88243,10061528,"東戸塚駅徒歩3分★認可保育園★月給183,000円～★福利厚生充実★職員関係良好★Y10061528","月給 183000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88244,10061524,"戸塚駅徒歩5分★認可保育園★月給183,000円～★福利厚生充実★職員関係良好★Y10061524","月給 183000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88245,10061429,"青葉台駅から徒歩6分★平成26年オープニング★月給183,000円～★福利厚生充実★Y10061429","月給 183000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88246,10061434,青葉台駅から徒歩6分★認可保育園★主任業務★平成26年オープニング★福利厚生充実★Y10061434,"月給 210000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88247,10061430,"武蔵新城駅徒歩5分★平成26年オープニング★月給186,000円～★福利厚生充実★Y10061430","月給 186000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88248,10061435,武蔵新城駅徒歩5分★主任業務★平成26年オープニング★月給21万円～★福利厚生充実★Y10061435,"月給 210000円 ～ 
※経験により加算して決定
【各種手当】
資格手当、役職手当、慶弔見舞金
残業手当、扶養家族手当、地域手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88249,10061520,"JR根岸線・洋光台駅より徒歩8分★月給183,000円～★賞与年2回★認可保育園★Y10061520","月給 183000円 ～ 
※資格手当含む、ほかに経験加算あり","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  従業員持株会制度  研修制度  残業手当  資格手当  育児休暇あり  給食あり"
88250,10069012,神戸市兵庫区★上沢駅・大開駅・兵庫駅から徒歩圏内♪定員90名の小規模アットホーム保育☆O10069012,"月給 183150円 ～ 
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり  再雇用制度  資格手当"
88251,10069080,"東大阪市★平成27年4月から♪瓢箪山駅より徒歩12分♪フラッシュカードを使った保育O10069080","年収 2300000円 ～ 2400000円
基本給：176,660円 保育士手当：7,800円 地域手当：10,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり  資格手当"
88252,10068094,金町駅から徒歩10分★平成25年度オープン★常勤求人★芝生の園庭★賞与4ヶ月G10068094,"月給 190280円 ～ 261000円
短大専門新卒：基本給182,000円 
業務手当（基本給の4％）：7,280円 
勤続手当（1-3年）：1,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり  住宅手当  育児休暇あり"
88253,10068095,金町駅から徒歩10分★平成25年度オープン★常勤求人★芝生の園庭★賞与4ヶ月G10068095,"月給 190280円 ～ 261000円
短大専門新卒：基本給182,000円 
業務手当（基本給の4％）：7,280円 
勤続手当（1-3年）：1,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり  住宅手当  育児休暇あり"
88254,10064770,横浜駅徒歩15分♪神社内にある小規模園♪◆賞与実績3.9か月！◆退職金有Y10064770,"月給 185000円 ～ 
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり"
88255,10065548,新座駅★平成26年4月リニューアルオープンの認可保育園★年収250万円代★年間休日107日G10065548,"年収 2595000円 ～ 
月給：175,000円～＋経験加算 
（内訳） 基本給：(短大・専門卒)165,000円　(大卒)170,000円 特殊業務手当：10,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  住宅手当  社員旅行"
88256,10063676,西葛西駅から徒歩圏内★認可保育園での正規求人★嬉しい18：30閉園★残業ほぼなし★G10063676,"月給 188144円 ～ 
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり  住宅手当"
88257,10065442,"目黒駅徒歩7分★福利厚生充実★経験者月給190,090円～★H26年4月オープン認可園G10065442","月給 190090円 ～ 236930円
（内訳） 
◆基本給161,000円～190,000円 
◆資格手当15.000円 
◆時間調整手当13,590円～16,930円（10時間分想定/10時間以上の場合は別途法定通り支給） 
◆職能手当500円～15,000円 
◆その他手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  再雇用制度  研修制度  残業手当  引越し手当  住宅手当  資格手当  育児休暇あり"
88258,10065794,【春日部市】豊春駅★認可保育園★月給17.9万円～＋経験考慮★大手企業運営安定★G10065794,"月給 179000円 ～ 
・基本給：13万円
・資格手当：1万円
・食事手当：6,000円
・認可手当：1万3,000円
・地域手当 ：2万円
・その他手当：特別手当2,000円～3,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  給食あり  研修制度  資格手当"
88259,10068303,春日部市★豊春駅★認可保育園★月給18.1万円～★大手企業運営安定G10068303,"月給 181000円 ～ 182000円
月給181,000円～191,000円 
内訳 基本給130,000円/資格手当10,000円/食事手当 6,000円/認可認証手当13,000円/特別手当2,000円/地域手当20,000円/認可保育園5年以上の経験から一律加算10,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  給食あり  研修制度  資格手当"
88260,10068304,春日部市豊春駅★認可保育園★月給18.2万円～★大手企業運営安定★G10068304,"月給 182000円 ～ 192000円
月給182,000円～192,000円 
内訳 基本給130,000円/資格手当10,000円/食事手当 6,000円/認可認証手当13,000円/特別手当3,000円/地域手当20,000円/認可保育園5年以上の経験から一律加算10,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  給食あり  研修制度  資格手当"
88261,10068710,"豊中市★即日勤務可能♪今の時期からでも正社員☆明るい職場環境☆クラブ活動が盛ん♪O10068710","月給 177000円 ～ 186600円
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり"
88262,10063447,★赤羽駅徒歩10分★5月入職ＯＫ★定着率の高い認可保育園★月給19万円以上★G10063447,"月給 192800円 ～ 
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  資格手当"
88263,10065206,さいたま市緑区★歴史ある保育園★男性保育士も活躍中！★未経験の方もOK★車通勤可★G10065206,"月給 195000円 ～ 
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  住宅手当"
88264,10065944,【高槻市】認可保育園★年度途中からの正社員★年収290万円★賞与・退職金あり★O10065944,"年収 2900000円 ～ 2900000円
月給：187,000円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  給食あり"
88265,10066562,【高槻市★認可保育園】年度途中からの正社員♪年収290万円★土曜は隔週出勤★O10066562,"年収 2900000円 ～ 2900000円
月給：187,000円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  給食あり"
88266,10067354,JR南武線中野島駅徒歩2分★2015年4月～★アットホーム★認可保育園★経験者歓迎Y10067354,"月給 186000円 ～ 186000円
基本給：186,000円(4大卒新卒者）/180,000円（短大卒新卒者） 
役職手当：3,000円～12,000円　 
行事手当：3,000円（年2.3回程度）　 
早出遅出手当：800円（月4.5回程度）","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  育児休暇あり"
88267,10062232,"即日勤務可能★名古屋市港区★認可保育園★アットホームな園です♪マイカー通勤OK★N10062232","月給 177320円 ～ 227590円
基本給：153,400円～174,000円
地域手当：16,120円～20,690円
特殊業務手当：4,400円
住居手当：2,500円
時間外手当、通勤手当あり","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  残業手当  住宅手当"
88268,10066872,"太宰府市★幼稚園教諭★平成27年4月～★車通勤可能♪クラス補助スタート♪F10066872","月給 173000円 ～ 
※月給内訳 
・基本給：167,000円 
・研修手当：5,000円 
・皆勤手当：（1年目）1,000円（2年目以降）3,000円 
・乗務手当：500円/回 
・当番手当：500円/回","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  給食あり  皆勤手当  育児休暇あり"
88269,10063229,【認可保育園★正社員求人】大阪市東成区♪弊社職員も複数勤務している働きやすい園★O10063229,"月給 185930円 ～ 205720円
（短大卒）基本給：151,300円～、調整手当：15,130円～、住居手当：3,500円～13,500円、特別手当：16,000円
（大学卒）基本給：160,200円～、調整手当：16,020円～、住居手当：3,500円～13,500円、特別手当：16,000","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり"
88271,10067877,せんげん台からバス★幼保一元★4月から認定こども園に移行★車通勤可★賞与3ヶ月G10067877,"月給 188000円 ～ 
基本給175,000円～　
研究手当：8,000円　
資格手当：5,000円　 
皆勤手当：5,000円(1日程度休んでも支給)","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  資格手当  育児休暇あり"
88272,10069007,都営三田線・志村三丁目駅より徒歩10分★認可保育園★賞与年4ヶ月G10069007,"月給 186372円 ～ 
（短大卒初任給　手当込）186,372円～　
（大学卒初任給　手当込）202,388円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度"
88273,10060910,【茨城県つくばみらい市】特養で働く職員の託児所★車通勤OK！日祝休み！退職金制度あり！C10060910,"月給 150000円 ～ 200000円
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり"
88274,10065510,"新橋駅徒歩圏★福利厚生充実★月給188,020円～★年休121日★子育てひろばでの保育G10065510","月給 188020円 ～ 205780円
（内訳） 
基本給　160,000円～175,000円
資格手当　15.000円 
時間調整手当　13,200円～15,780円（10時間分想定/10時間以上の場合は別途法定通り支給） 
その他手当：職能手当","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  研修制度  残業手当  住宅手当  資格手当  育児休暇あり"
88275,10065509,新橋駅より徒歩圏内★福利厚生充実★年間休日121日★子育てひろばでの保育業務★G10065509,"月給 190090円 ～ 236930円
（内訳）
基本給16万1,000円～19万円
資格手当1万5,000円
時間調整手当1万3,590円～1万6,930円（10時間分想定/10時間以上の場合は別途法定通り支給）
職能手当500円～1万5,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  研修制度  残業手当  住宅手当  資格手当  育児休暇あり"
88276,10063431,"荒川区役所前駅すぐ★認可保育園★5,6月入職ＯＫ★正社員求人★月給18万円以上★G10063431","月給 204892円 ～ 
4年生大学卒：176,600円+諸手当（調整手当21,192円、特殊業務手当7,100円）＝204,892円～
短大・専門卒：162.200円+諸手当（調整手当19,464円、特殊業務手当7,100円）＝188,764円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度"
88277,10061840,【世田谷区】★小田急線狛江駅徒歩8分★小規模★家庭的であたたかい保育★主任募集G10061840,"月給 200000円 ～ 310000円
★基本給160,000円～250,000円
★主任手当15,000円～30,000円
★調整手当25,000円～30,000円
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度"
88278,10069121,西高島平駅徒歩10分★認可保育園★未経験OK★月給20万円以上★G10069121,"月給 206826円 ～ 220748円
","
交通費支給  社会保険完備  退職金制度  育児休暇あり"
88279,10061834,4月スタート★湖北駅より徒歩10分★認可保育園★福利厚生バツグン！経験浅くてもOK♪C10061834,"月給 183400円 ～ 
基本給：159,700円～、
特別業務手当：7,800円～、
経験加算：15,900円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  研修制度  残業手当  育児休暇あり  給食あり"
88280,10066910,東小金井駅より徒歩1分★教育に力を入れている保育園★月給23万円以上！G10066910,"月給 231705円 ～ 
基本給　218,155円 
業務手当　13,550円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度"
88281,10065496,≪施設長候補≫★福利厚生充実★月給24万5000円以上★年間休日121日G10065496,"月給 245000円 ～ 
施設長になるまでは、月給19万90円～＋経験加算
施設長として勤務後は、月給24万5,000円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  再雇用制度  研修制度  引越し手当  住宅手当  資格手当  育児休暇あり"
88282,10063969,吹田市★認可保育園の正社員求人★アットホームな環境★常勤★福利厚生充実♪退職金制度有O10063969,"年収 2300000円 ～ 3396000円
◆月給：167,260円～
◆特殊業務手当：5,000円
◆食事手当：3,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  育児休暇あり"
88283,10065388,白金高輪駅徒歩3分★アットホーム★月給19万以上★福利厚生充実★安定企業運営G10065388,"月給 192000円 ～ 230000円
※未経験の方：月給186,000円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  従業員持株会制度  研修制度  引越し手当  育児休暇あり"
88284,10065439,【中野区】中野坂上駅★病後児保育★小規模★月給19万円以上★福利厚生充実G10065439,"月給 192000円 ～ 230000円
※未経験の方：月給18万6000円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  従業員持株会制度  研修制度  引越し手当  育児休暇あり"
88285,10065445,木場駅すぐ★月給19万以上★福利厚生充実★安定企業運営の保育園G10065445,"月給 192000円 ～ 230000円
※未経験の方：月給186,000円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  従業員持株会制度  研修制度  引越し手当  育児休暇あり"
88286,10065438,両国駅★子育て支援施設★月給19万以上★福利厚生充実★安定企業運営G10065438,"月給 192000円 ～ 230000円
※未経験の方：月給186,000円～","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  退職金制度  従業員持株会制度  研修制度  引越し手当  育児休暇あり"
88287,10068927,金町・亀有エリア★正規★月給19.5万円～★賞与昨年度実績3ヶ月分★G10068927,"月給 195000円 ～ 250000円
短大卒：基本給190,000円＋研究手当5,000円～
大学卒：基本給200,000円＋研究手当5,000円～ 
※中途採用の場合は、別途経験加算あり。","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  研修制度"
88289,10067895,せんげん台からバス★北葛飾郡の幼稚園（平成27年度より認定こども園）★車通勤可G10067895,"月給 190000円 ～ 
基本給：175,000円 
研究手当：5,000円 
乗車手当：5,000円 
預かり保育手当5,000円 
皆勤手当：5,000円(1日程度休んでも支給)","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  育児休暇あり"
88290,10069079,新浦安駅★2015年度クラス担任★賞与5ヶ月★スキルアップしたい方★まず見学からどうぞ♪C10069079,"月給 185000円 ～ 
※1年目給与です 
【内訳】 基本給177,000円 調整額8,000円
※見込み残業代 住宅手当 上限27,000円(借家のみ)","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  残業手当  住宅手当  育児休暇あり"
88291,10069078,"新浦安駅★時給1,200円★2015年度クラス担任★自由な校風で皆さん笑顔♪C10069078","時給 1100円 ～ 1200円
交通費全額支給","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  残業手当  住宅手当  育児休暇あり"
88292,10066537,【大阪市中央区】玉造駅より徒歩圏内★新規開園の認可保育園♪若い職員の楽しい職場★O10066537,"年収 2300000円 ～ 2460000円
月給：178,500円～","賞与あり
交通費支給  社会保険完備  賞与  退職金制度  給食あり"
88293,10067898,辻堂駅バス13分★2015年夏開園★認可保育園★90名定員★自然保育を行っていますY10067898,"月給 166515円 ～ 272877円
基本給：160,500円～228,600円※経験値による 
諸手当：6,015円★44,277円 
住宅手当：10,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  育児休暇あり"
88294,10067724,【平成27年4月新規採用★認可保育園★正社員】駅から徒歩圏内★福利厚生充実★O10067724,"月給 189000円 ～ 
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  住宅手当  資格手当  育児休暇あり"
88295,10065374,【神戸市北区】平成27年4月新規開園♪定員60名♪オープニングスタッフ☆O10065374,"月給 185000円 ～ 
","賞与あり
交通費支給  社会保険完備  賞与  退職金制度  給食あり  資格手当"
88296,10064309,"【世田谷区】二子玉川駅より徒歩10分★平成26年7月開設予定の認可保育園★高待遇♪G10064309","月給 186000円 ～ 216900円
・基本給：171200円～199300円
・勤務地調整手当：14800円～17600円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  住宅手当  育児休暇あり"
88297,10069000,認可保育園★埼玉県内一広い園庭あり！行田市★賞与3.95ヶ月♪車通勤ＯＫ★G10069000,"月給 169140円 ～ 
基本給 　147,000円 
精勤手当　11,760円
特業手当　5,880円
残業手当　4,500円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  皆勤手当"
88298,10065886,認可保育園★行田市★埼玉県内一広い園庭あり！★賞与3.95ヶ月♪車通勤ＯＫ★G10065886,"月給 169140円 ～ 
基本給：147,000円
精勤手当：11,760円
特業手当：5,880円
残業手当：4,500円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  皆勤手当"
88299,10063520,"南砂町駅すぐ★認可園★綺麗な園舎★月給188,000円以上★退職金あり★賞与3ヶ月G10063520","月給 188600円 ～ 300000円
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  研修制度  住宅手当  育児休暇あり"
88300,10067505,平成27年度求人！池田駅徒歩10分★賞与4ヶ月♪明るい職場環境♪経験者大歓迎★O10067505,"年収 2600000円 ～ 2600000円
月給：181,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり"
88301,10066111,【急募！糟屋郡新宮町の認可保育園】正規職員★賞与3.95ヵ月分♪無料駐車場あり♪F10066111,"年収 2770000円 ～ 
月収：183,699円（皆勤手当含む） 
","賞与あり
交通費支給  社会保険完備  賞与  退職金制度"
88302,10063518,"清澄白河駅より徒歩1分★園庭ありの認可保育園★正社員★月給188,000円以上★G10063518","月給 188600円 ～ 300000円
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  再雇用制度"
88303,10061406,【西東京市・田無駅徒歩5分】認可★月収20万円以上★きれいで働きやすい職場です♪G10061406,"月給 205000円 ～ 324000円
※基本給 160,000～279,000円 
・地域手当 45,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度"
88304,10061407,【西東京市・田無駅5分】認可★週休2日★正社員★きれいで働きやすい職場です♪G10061407,"月給 215000円 ～ 324000円
※基本給 170,000～279,000円
・地域手当 45,000円","昇給あり
交通費支給  社会保険完備  昇給  退職金制度"
88305,10068184,新船橋駅より徒歩★アットホームな雰囲気の認可園★初年度は時間固定で安心です♪C10068184,"月給 189250円 ～ 
（職員会議手当含む） ","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度  給食あり  残業手当  育児休暇あり"
88306,10061481,"【台東区】JR線鶯谷駅15分★平成26年4月開園予定の認定こども園★正社員保育士求人★G10061481","月給 188600円 ～ 
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  退職金制度"
88307,10064611,横浜市港北区★東急東横線「日吉駅」徒歩7分★のびのび認可保育園★未経験者もＯＫ！Y10064611,"月給 180000円 ～ 255000円
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  研修制度  残業手当  住宅手当  育児休暇あり"
88308,10065399,上石神井駅★年間休日125日★月給18万3200円以上★経験不問★認可保育園★G10065399,"月給 183200円 ～ 
別途保育士手当3000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  研修制度  残業手当  住宅手当  託児所あり  育児休暇あり"
88309,10065819,南千住駅★月給19万8400円～★賞与3.95ヶ月★認可園★経験不問★G10065819,"月給 198400円 ～ 209800円
・基本給　19万600円～20万2,000円
・特殊業務手当　7,800円
・交通費上限　25,000円まで支給","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  研修制度  資格手当  育児休暇あり"
88310,10069027,浦和美園駅から徒歩10分★認可保育園★温かみのある雰囲気★賞与有★車通勤可♪G10069027,"月給 161500円 ～ 
◆基本給：151,000円 ◆職務手当：10,500円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり  研修制度  資格手当"
88311,10065338,西馬込駅★月給18万～★経験不問★小規模認可園★海外研修あり★年間休日120日以上G10065338,"月給 185000円 ～ 250000円
住宅手当：5000円、研修手当（半年後から）：5000円別途支給","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  住宅手当  育児休暇あり  社員旅行"
88312,10069028,浦和美園駅から徒歩10分★認可保育園★温かみのある雰囲気★賞与有G10069028,"月給 161500円 ～ 
◆基本給：151,000円 ◆職務手当：10,500円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  資格手当"
88313,10065262,【品川区】荏原町駅　徒歩1分★認可園★風通しがいい社風★経験不問★G10065262,"月給 185000円 ～ 255000円
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  研修制度  住宅手当  育児休暇あり"
88314,10061367,市川市・原木中山駅★認可園の園長★給与、応相談★経験を生かしていただけます！C10061367,"年収 4000000円 ～ 
給与:相談により決定
特殊業務手当:13,000円
住宅手当:7,000円　※単身者のみ","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり  住宅手当"
88315,10068289,中央区★2015年4月～★月給18万円・賞与3.9ヵ月★園児も職員も落ち着いた環境C10068289,"月給 180000円 ～ 
手当含む 保育士手当:7,800円 調整手当:基本給の6％ 
初任給185,280円以上(基本給158,000円)　
3年目モデル189,520円以上　
※諸手当、残業手当約10,000含む 
賞与:前年度実績　年2回　基本給の3.95ヵ月分","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり  残業手当  資格手当"
88316,10065023,高円寺駅徒歩8分★公設民営★園庭も広々★大手企業運営で安定★アットホームな保育園★G10065023,"月給 185000円 ～ 191000円
【専門・短大卒】 基本給：180000円、保育士手当：5000円 
【4大卒】 基本給：181000円、保育士手当：5000円 ※経験値加算あり","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  育児休暇あり"
88317,10065022,★中野区★公設民営★園庭も広々★大手企業運営で安定★アットホームな保育園★G10065022,"月給 185000円 ～ 191000円
【短大・専門卒】 基本給：180000円、保育士手当：5000円 
【4大卒】 基本給：181000円、保育士手当：5000円 ※経験値加算あり","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  住宅手当  育児休暇あり"
88318,10065851,"越谷市★のどかでゆったりした認可保育園★契約社員★月給177,840円★保育補助業務★G10065851","月給 177840円 ～ 177840円
基本給：171,000円＋特殊業務手当6,840円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり  残業手当"
88319,10065361,中野駅　徒歩5分★年間休日125日★月給18万3200円以上★経験不問★認可保育園★G10065361,"月給 183200円 ～ 
・別途保育士手当　3000円
・施設手当　35000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  研修制度  残業手当  住宅手当  資格手当  育児休暇あり"
88320,10065329,押上駅★平成27年4月オープン★経験不問★認可園★海外研修あり★年間休日120日以上G10065329,"月給 185000円 ～ 250000円
・住宅手当：5000円/月
・研修手当（半年後から）：5000円/月　別途支給","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  研修制度  住宅手当  育児休暇あり"
88321,10065304,中央区★大手企業子会社★抜群の福利厚生★働きやすい環境★未経験者歓迎G10065304,"月給 184600円 ～ 200000円
基本給：176,800円 食事手当：7,800円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  研修制度  育児休暇あり"
88322,10065371,JR大森駅徒歩5分★年間休日125日★月給18万～★経験不問★認可保育園G10065371,"月給 183200円 ～ 
別途保育士手当3000円　施設手当3500円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  研修制度  残業手当  住宅手当  資格手当  育児休暇あり"
88323,10068069,練馬駅★仏教保育★月給18万以上★賞与3ヶ月以上★職員関係良好★G10068069,"月給 183940円 ～ 220900円
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり"
88324,10067282,"定員120名★駅チカ★南区横手★車通勤可能・無料駐車場★直接雇用の可能性ありF10067282","月給 183853円 ～ 201941円
【基本給】144,500円～155,700円 
【処遇手当】8,670円～9,342円 
【特殊業務手当】6,126円～6,601円 
【調整手当】9,557円～10,298円 
【その他手当】約10,000円～20,000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  給食あり"
88325,10064612,【横浜市港北区】東横線「綱島駅」徒歩15分★のびのび認可保育園★正社員の募集です！Y10064612,"月給 180000円 ～ 255000円
","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  研修制度  残業手当  住宅手当  育児休暇あり"
88326,10067128,西武池袋線中村橋駅★契約社員★月給19万以上★公設民営★アットホーム！G10067128,"月給 191000円 ～ 
","賞与あり
交通費支給  社会保険完備  賞与"
88327,10065362,【練馬区】光が丘駅　徒歩5分★年間休日125日★経験不問★認可保育園★G10065362,"月給 183200円 ～ 
・別途保育士手当　3000円　
・施設手当　35000円","賞与・昇給あり
交通費支給  社会保険完備  賞与  昇給  制服貸与  研修制度  残業手当  住宅手当  資格手当  育児休暇あり"
